TS --> 5_November_2019_15_17_7, Endpoint --> /results/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_17_24, Endpoint --> /results/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_17_26, Endpoint --> /results/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_17_45, Endpoint --> /results/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_18_7, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_19_45, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_20_18, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_29_1, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_29_3, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_30_31, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_15_35_0, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_26_24, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_26_59, Endpoint --> /result/fetchCompletedExams, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_27_33, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 5_November_2019_21_27_33, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_27_55, Endpoint --> /user/login, Method --> OPTIONS, Host --> localhost:1234
TS --> 5_November_2019_21_27_55, Endpoint --> /user/login, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_28_0, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 5_November_2019_21_28_0, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 5_November_2019_21_28_7, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 5_November_2019_21_28_7, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 5_November_2019_21_28_8, Endpoint --> /result/deleteResult, Method --> OPTIONS, Host --> localhost:1234
